time,Pyro [uV],IR_S_u
2023-06-14 00:56:24-05:00,31,0.0
2023-06-14 00:56:30-05:00,31,0.0
2023-06-14 00:56:36-05:00,31,0.0
2023-06-14 00:56:42-05:00,31,0.0
2023-06-14 00:56:48-05:00,31,0.0
2023-06-14 00:56:54-05:00,31,0.0
2023-06-14 00:57:00-05:00,31,0.0
2023-06-14 00:57:06-05:00,31,0.0
2023-06-14 00:57:12-05:00,31,0.0
2023-06-14 00:57:18-05:00,31,0.0
2023-06-14 00:57:24-05:00,31,0.0
2023-06-14 00:57:30-05:00,31,0.0
2023-06-14 00:57:36-05:00,31,0.0
2023-06-14 00:57:42-05:00,31,0.0
2023-06-14 00:57:48-05:00,31,0.0
2023-06-14 00:57:54-05:00,31,0.0
2023-06-14 00:58:00-05:00,16,0.0
2023-06-14 00:58:06-05:00,31,0.0
2023-06-14 00:58:12-05:00,31,0.0
2023-06-14 00:58:18-05:00,31,0.0
2023-06-14 00:58:24-05:00,31,0.0
2023-06-14 00:58:30-05:00,31,0.0
2023-06-14 00:58:36-05:00,31,0.0
2023-06-14 00:58:42-05:00,31,0.0
2023-06-14 00:58:48-05:00,31,0.0
2023-06-14 00:58:54-05:00,31,0.0
2023-06-14 00:59:00-05:00,31,0.0
2023-06-14 00:59:06-05:00,31,0.0
2023-06-14 00:59:12-05:00,31,0.0
2023-06-14 00:59:18-05:00,31,0.0
2023-06-14 00:59:24-05:00,31,0.0
2023-06-14 00:59:30-05:00,31,0.0
2023-06-14 00:59:36-05:00,31,0.0
2023-06-14 00:59:42-05:00,31,0.0
2023-06-14 00:59:48-05:00,31,0.0
2023-06-14 00:59:54-05:00,31,0.0
2023-06-14 01:00:00-05:00,31,0.0
2023-06-14 01:00:06-05:00,31,0.0
2023-06-14 01:00:12-05:00,31,0.0
2023-06-14 01:00:18-05:00,31,0.0
2023-06-14 01:00:24-05:00,31,0.0
2023-06-14 01:00:30-05:00,31,0.0
2023-06-14 01:00:36-05:00,31,0.0
2023-06-14 01:00:42-05:00,31,0.0
2023-06-14 01:00:48-05:00,16,0.0
2023-06-14 01:00:54-05:00,16,0.0
2023-06-14 01:01:00-05:00,16,0.0
2023-06-14 01:01:06-05:00,16,0.0
2023-06-14 01:01:12-05:00,16,0.0
2023-06-14 01:01:18-05:00,16,0.0
2023-06-14 01:01:24-05:00,16,0.0
2023-06-14 01:01:30-05:00,31,0.0
2023-06-14 01:01:36-05:00,31,0.0
2023-06-14 01:01:42-05:00,31,0.0
2023-06-14 01:01:48-05:00,31,0.0
2023-06-14 01:01:54-05:00,31,0.0
2023-06-14 01:02:00-05:00,31,0.0
2023-06-14 01:02:06-05:00,31,0.0
2023-06-14 01:02:12-05:00,31,0.0
2023-06-14 01:02:18-05:00,31,0.0
2023-06-14 01:02:24-05:00,31,0.0
2023-06-14 01:02:30-05:00,31,0.0
2023-06-14 01:02:36-05:00,31,0.0
2023-06-14 01:02:42-05:00,31,0.0
2023-06-14 01:02:48-05:00,31,0.0
2023-06-14 01:02:54-05:00,31,0.0
2023-06-14 01:03:00-05:00,31,0.0
2023-06-14 01:03:06-05:00,31,0.0
2023-06-14 01:03:12-05:00,31,0.0
2023-06-14 01:03:18-05:00,31,0.0
2023-06-14 01:03:24-05:00,31,0.0
2023-06-14 01:03:30-05:00,31,0.0
2023-06-14 01:03:36-05:00,31,0.0
2023-06-14 01:03:42-05:00,31,0.0
2023-06-14 01:03:48-05:00,31,0.0
2023-06-14 01:03:54-05:00,31,0.0
2023-06-14 01:04:00-05:00,31,0.0
2023-06-14 01:04:06-05:00,31,0.0
2023-06-14 01:04:12-05:00,31,0.0
2023-06-14 01:04:18-05:00,31,0.0
2023-06-14 01:04:24-05:00,31,0.0
2023-06-14 01:04:30-05:00,31,0.0
2023-06-14 01:04:36-05:00,31,0.0
2023-06-14 01:04:42-05:00,31,0.0
2023-06-14 01:04:48-05:00,31,0.0
2023-06-14 01:04:54-05:00,31,0.0
2023-06-14 01:05:00-05:00,31,0.0
2023-06-14 01:05:06-05:00,31,0.0
2023-06-14 01:05:12-05:00,31,0.0
2023-06-14 01:05:18-05:00,31,0.0
2023-06-14 01:05:24-05:00,31,0.0
2023-06-14 01:05:30-05:00,31,0.0
2023-06-14 01:05:36-05:00,31,0.0
2023-06-14 01:05:42-05:00,31,0.0
2023-06-14 01:05:48-05:00,31,0.0
2023-06-14 01:05:54-05:00,16,0.0
2023-06-14 01:06:00-05:00,16,0.0
2023-06-14 01:06:06-05:00,16,0.0
2023-06-14 01:06:12-05:00,16,0.0
2023-06-14 01:06:18-05:00,16,0.0
2023-06-14 01:06:24-05:00,16,0.0
2023-06-14 01:06:30-05:00,16,0.0
2023-06-14 01:06:36-05:00,16,0.0
2023-06-14 01:06:42-05:00,31,0.0
2023-06-14 01:06:48-05:00,31,0.0
2023-06-14 01:06:54-05:00,31,0.0
2023-06-14 01:07:00-05:00,16,0.0
2023-06-14 01:07:06-05:00,16,0.0
2023-06-14 01:07:12-05:00,16,0.0
2023-06-14 01:07:18-05:00,16,0.0
2023-06-14 01:07:24-05:00,16,0.0
2023-06-14 01:07:30-05:00,16,0.0
2023-06-14 01:07:36-05:00,16,0.0
2023-06-14 01:07:42-05:00,16,0.0
2023-06-14 01:07:48-05:00,16,0.0
2023-06-14 01:07:54-05:00,16,0.0
2023-06-14 01:08:00-05:00,16,0.0
2023-06-14 01:08:06-05:00,31,0.0
2023-06-14 01:08:12-05:00,31,0.0
2023-06-14 01:08:18-05:00,31,0.0
2023-06-14 01:08:24-05:00,31,0.0
2023-06-14 01:08:30-05:00,31,0.0
2023-06-14 01:08:36-05:00,31,0.0
2023-06-14 01:08:42-05:00,31,0.0
2023-06-14 01:08:48-05:00,16,0.0
2023-06-14 01:08:54-05:00,31,0.0
2023-06-14 01:09:00-05:00,16,0.0
2023-06-14 01:09:06-05:00,31,0.0
2023-06-14 01:09:12-05:00,31,0.0
2023-06-14 01:09:18-05:00,31,0.0
2023-06-14 01:09:24-05:00,31,0.0
2023-06-14 01:09:30-05:00,31,0.0
2023-06-14 01:09:36-05:00,31,0.0
2023-06-14 01:09:42-05:00,31,0.0
2023-06-14 01:09:48-05:00,31,0.0
2023-06-14 01:09:54-05:00,31,0.0
2023-06-14 01:10:00-05:00,31,0.0
2023-06-14 01:10:06-05:00,31,0.0
2023-06-14 01:10:12-05:00,31,0.0
2023-06-14 01:10:18-05:00,31,0.0
2023-06-14 01:10:24-05:00,31,0.0
2023-06-14 01:10:30-05:00,31,0.0
2023-06-14 01:10:36-05:00,31,0.0
2023-06-14 01:10:42-05:00,31,0.0
2023-06-14 01:10:48-05:00,31,0.0
